month,quantile,percentiles_max,percentiles_min,mean_max,mean_min,std_dev_max,std_dev_min,latitude,longitude,number,step,surface
1,0.1,29.619015502929688,20.945361328125,32.197014,22.297832,1.9816285,1.122623,4.0,-73.0,0,0 days,0.0
1,0.9,34.9171875,23.753662109375,32.197014,22.297832,1.9816285,1.122623,4.0,-73.0,0,0 days,0.0
2,0.1,28.986004638671876,21.697186279296876,32.24627,23.160625,2.3796983,1.2408822,4.0,-73.0,0,0 days,0.0
2,0.9,35.26212768554687,24.698822021484375,32.24627,23.160625,2.3796983,1.2408822,4.0,-73.0,0,0 days,0.0
3,0.1,29.60745849609375,21.668890380859374,32.334923,22.997566,2.1222293,1.1026179,4.0,-73.0,0,0 days,0.0
3,0.9,35.1919677734375,24.324661254882812,32.334923,22.997566,2.1222293,1.1026179,4.0,-73.0,0,0 days,0.0
4,0.1,27.484649658203125,21.774249267578124,30.079247,22.710337,1.7939095,0.65254,4.0,-73.0,0,0 days,0.0
4,0.9,32.205999755859374,23.546002197265626,30.079247,22.710337,1.7939095,0.65254,4.0,-73.0,0,0 days,0.0
5,0.1,27.898455810546874,21.73658447265625,29.65559,22.605364,1.4496844,0.6440341,4.0,-73.0,0,0 days,0.0
5,0.9,31.284368896484374,23.47461853027344,29.65559,22.605364,1.4496844,0.6440341,4.0,-73.0,0,0 days,0.0
6,0.1,26.67354736328125,21.31751708984375,28.481855,21.91882,1.3921567,0.5818163,4.0,-73.0,0,0 days,0.0
6,0.9,30.137493896484376,22.745965576171876,28.481855,21.91882,1.3921567,0.5818163,4.0,-73.0,0,0 days,0.0
7,0.1,26.570706176757813,20.589944458007814,28.321985,21.380564,1.4198529,0.78997815,4.0,-73.0,0,0 days,0.0
7,0.9,29.943087768554687,22.074053955078124,28.321985,21.380564,1.4198529,0.78997815,4.0,-73.0,0,0 days,0.0
8,0.1,26.918988037109376,20.562576293945312,28.881725,21.579529,1.3482156,0.6851561,4.0,-73.0,0,0 days,0.0
8,0.9,30.472283935546876,22.367608642578126,28.881725,21.579529,1.3482156,0.6851561,4.0,-73.0,0,0 days,0.0
9,0.1,27.85550537109375,20.91734619140625,29.42013,21.859709,1.101637,0.67550683,4.0,-73.0,0,0 days,0.0
9,0.9,30.61964111328125,22.70206298828125,29.42013,21.859709,1.101637,0.67550683,4.0,-73.0,0,0 days,0.0
10,0.1,28.259439086914064,21.37828369140625,29.587374,22.085953,1.0605686,0.614633,4.0,-73.0,0,0 days,0.0
10,0.9,30.885592651367187,22.782327270507814,29.587374,22.085953,1.0605686,0.614633,4.0,-73.0,0,0 days,0.0
11,0.1,28.706903076171876,21.822833251953124,30.289501,22.408318,1.1397278,0.5326838,4.0,-73.0,0,0 days,0.0
11,0.9,31.732089233398437,23.133383178710936,30.289501,22.408318,1.1397278,0.5326838,4.0,-73.0,0,0 days,0.0
12,0.1,29.003558349609374,20.7751220703125,30.437145,22.007019,1.1362377,0.97203594,4.0,-73.0,0,0 days,0.0
12,0.9,31.84288330078125,22.966656494140626,30.437145,22.007019,1.1362377,0.97203594,4.0,-73.0,0,0 days,0.0
